open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759276800000,113988.70,114246.00,113899.40,114181.10,3773.132,1759280399999,430431137.63140,87657,1834.045,209234332.67050,0
1759280400000,114181.00,114498.00,114083.30,114491.60,3764.019,1759283999999,430279524.55250,82511,1753.011,200385334.97990,0
1759284000000,114491.60,114494.00,114218.90,114219.00,2618.284,1759287599999,299403707.21480,61673,1046.653,119684407.44460,0
1759287600000,114219.00,114481.20,114038.70,114135.90,5741.656,1759291199999,656226368.84600,88719,2859.640,326826236.31010,0
1759291200000,114135.80,114669.00,114095.20,114227.80,5746.057,1759294799999,657462588.57840,108329,2757.939,315611077.30920,0
1759294800000,114227.80,114700.00,114200.80,114511.40,4333.954,1759298399999,496224945.10130,92837,2167.922,248218855.91910,0
1759298400000,114511.50,114570.10,114170.00,114212.80,3790.162,1759301999999,433443557.66790,97621,1805.912,206520669.72260,0
1759302000000,114212.70,114539.10,114184.90,114480.80,2407.498,1759305599999,275475728.79380,69310,1261.630,144353845.40730,0
1759305600000,114480.80,116599.80,114425.60,116060.50,30788.992,1759309199999,3557994096.67200,433551,17992.448,2078523580.24910,0
1759309200000,116060.40,116500.00,115890.70,116372.40,10427.254,1759312799999,1212136523.38940,230068,5641.858,655957689.88460,0
1759312800000,116372.30,116520.00,116154.50,116233.60,4222.994,1759316399999,491182510.61940,106921,1878.042,218444157.43510,0
1759316400000,116233.50,116750.00,116228.10,116736.80,6450.112,1759319999999,751436055.73340,121753,3929.354,457777954.00300,0
1759320000000,116736.80,116850.00,116311.50,116373.70,7240.985,1759323599999,844265278.54940,159693,3101.433,361683953.07340,0
1759323600000,116373.80,116802.00,116370.40,116762.50,5404.326,1759327199999,629906571.46680,155257,2942.327,342944676.91060,0
1759327200000,116761.90,117400.00,116655.20,117245.30,13123.333,1759330799999,1536834144.00760,299998,6924.292,810863868.86810,0
1759330800000,117245.40,117647.80,117031.00,117366.40,6346.913,1759334399999,744914173.95720,156119,3357.504,394104919.05730,0
1759334400000,117366.50,118190.00,117259.30,117480.10,17613.731,1759337999999,2074387604.13500,313914,9202.378,1083804422.24320,0
1759338000000,117480.00,117649.20,116687.50,116734.20,9324.856,1759341599999,1092511627.52470,198270,4272.325,500487423.63240,0
1759341600000,116734.30,117312.70,116731.40,117192.30,5118.281,1759345199999,598913664.08680,116882,3055.986,357587320.94510,0
1759345200000,117192.30,117572.70,117167.60,117374.10,3499.224,1759348799999,410792127.69060,88591,1908.070,223996768.21570,0
1759348800000,117374.00,117493.60,117104.10,117474.60,3175.885,1759352399999,372440505.88570,74495,1375.637,161318321.37870,0
1759352400000,117474.70,117524.90,117276.30,117503.20,1465.246,1759355999999,172038626.78170,42306,653.835,76765178.93750,0
1759356000000,117503.20,118041.90,117503.20,117695.80,5429.622,1759359599999,639505516.78820,104048,3120.592,367539504.40640,0
1759359600000,117695.80,118631.80,117634.90,118552.40,11182.913,1759363199999,1322218558.00880,205274,6546.817,774060553.05640,0
1759363200000,118552.00,119457.00,118367.00,118397.00,15039.878,1759366799999,1788467108.46000,310616,8072.279,959997357.24210,0
1759366800000,118397.00,118862.00,118335.00,118577.40,4265.244,1759370399999,505878493.21270,123693,2363.691,280349010.50100,0
1759370400000,118577.50,118748.80,118433.40,118697.40,4596.695,1759373999999,545215385.03070,124457,2404.093,285135780.66140,0
1759374000000,118697.30,119043.40,118652.50,118697.00,6458.231,1759377599999,767519549.54490,101107,4002.699,475729292.56090,0
1759377600000,118697.00,118893.80,118372.00,118616.80,3643.919,1759381199999,432267720.49350,86196,1690.710,200586158.05220,0
1759381200000,118616.70,118641.80,118226.40,118329.70,3182.782,1759384799999,376923649.87250,80048,1378.276,163225427.15000,0
1759384800000,118329.70,118644.80,118251.30,118600.00,3064.694,1759388399999,363072720.56650,76324,1685.315,199669046.31900,0
1759388400000,118599.90,118629.80,118377.10,118444.10,1956.720,1759391999999,231850237.63360,54056,959.685,113709358.66070,0
1759392000000,118444.10,118647.70,118307.30,118635.40,2205.712,1759395599999,261354380.02210,60868,1092.042,129409612.75840,0
1759395600000,118635.30,118827.70,118521.70,118813.30,2704.861,1759399199999,320961377.04890,62631,1486.404,176392218.55430,0
