open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764547200000,2990.02,2998.84,2830.00,2834.82,1074890.943,1764550799999,3116439507.15515,1616719,456050.300,1321492263.40197,0
1764550800000,2834.82,2859.50,2832.04,2849.42,294904.777,1764554399999,840444948.90073,558791,151128.272,430737901.90736,0
1764554400000,2849.42,2872.99,2824.60,2836.79,394336.898,1764557999999,1124643011.31539,491527,197640.703,564018727.65842,0
1764558000000,2836.80,2841.86,2812.50,2824.80,289533.654,1764561599999,818161632.29431,449191,144816.049,409296258.38441,0
1764561600000,2824.81,2827.00,2805.55,2820.82,221890.246,1764565199999,624555647.67580,395478,112107.363,315566002.01917,0
1764565200000,2820.81,2830.00,2808.68,2826.77,170311.649,1764568799999,480418310.71070,257188,85530.373,241281662.12790,0
1764568800000,2826.77,2834.77,2821.22,2823.52,94888.049,1764572399999,268269929.24997,175503,47682.685,134822799.16328,0
1764572400000,2823.51,2843.42,2818.48,2838.44,135679.053,1764575999999,384357762.74907,215455,70530.458,199834768.65215,0
1764576000000,2838.43,2844.72,2830.65,2838.87,101767.662,1764579599999,288747678.36301,185146,45649.233,129537647.20154,0
1764579600000,2838.86,2854.56,2827.00,2837.88,217692.121,1764583199999,618040999.51156,251152,119274.063,338705182.95299,0
1764583200000,2837.88,2844.82,2835.68,2841.89,85243.575,1764586799999,242098032.56586,116902,47761.482,135632228.28822,0
1764586800000,2841.90,2848.75,2833.86,2836.48,119910.471,1764590399999,340564202.82281,177823,64598.074,183463921.84620,0
1764590400000,2836.48,2838.11,2791.00,2819.53,414929.865,1764593999999,1168553939.79569,546596,192156.501,541244896.03194,0
1764594000000,2819.52,2838.98,2802.94,2812.03,298834.003,1764597599999,842960393.51344,468774,137234.595,387174934.69438,0
1764597600000,2812.03,2831.07,2804.15,2816.84,251771.492,1764601199999,709182517.77508,499226,125521.855,353627676.42272,0
1764601200000,2816.85,2819.28,2718.07,2745.01,916398.499,1764604799999,2527769316.69831,1239997,413164.073,1139551019.72276,0
1764604800000,2745.01,2755.74,2718.63,2730.64,377600.053,1764608399999,1033000405.01315,638691,190733.002,521904850.55806,0
1764608400000,2730.65,2751.87,2727.35,2738.13,171094.915,1764611999999,468702585.99820,338879,93007.276,254800526.87942,0
1764612000000,2738.12,2756.93,2722.99,2748.36,227855.333,1764615599999,625392777.62168,331825,139717.369,383669704.68878,0
1764615600000,2748.36,2752.56,2729.04,2739.58,123051.253,1764619199999,337273795.23041,287512,66502.513,182302653.75934,0
1764619200000,2739.57,2768.39,2738.97,2756.86,225156.123,1764622799999,620388144.53488,374751,120923.670,333240599.90250,0
1764622800000,2756.87,2797.59,2754.75,2790.68,257644.761,1764626399999,716787973.68968,401666,151500.808,421442083.95872,0
1764626400000,2790.68,2812.68,2790.00,2795.65,156840.410,1764629999999,439371681.08493,251239,81911.280,229506016.40461,0
1764630000000,2795.66,2818.00,2795.31,2797.47,119604.915,1764633599999,335464247.83314,206893,62319.909,174808228.32179,0
1764633600000,2797.48,2803.77,2781.38,2794.29,143344.172,1764637199999,400174685.60822,249848,65916.235,184043216.69858,0
1764637200000,2794.29,2825.57,2791.55,2793.90,169234.128,1764640799999,474814280.37277,323628,83875.286,235380691.70979,0
